case,noise,rep,engine,recovery_err,rmse_rel,converged,wall_s
overlap_0.8d,0.001,2,v1,0.002134,0.000565,True,0.04
overlap_0.8d,0.001,2,v2,0.002134,0.000565,True,0.002
overlap_0.8d,0.001,3,v1,0.000883,0.000567,True,0.048
overlap_0.8d,0.001,3,v2,0.000882,0.000567,True,0.003
overlap_0.8d,0.001,4,v1,0.001103,0.000556,True,0.047
overlap_0.8d,0.001,4,v2,0.001103,0.000556,True,0.003
overlap_0.8d,0.005,0,v1,0.029618,0.002671,True,0.029
overlap_0.8d,0.005,0,v2,0.029616,0.002671,True,0.002
overlap_0.8d,0.005,1,v1,0.002235,0.002846,True,0.032
overlap_0.8d,0.005,1,v2,0.002233,0.002846,True,0.002
overlap_0.8d,0.005,2,v1,0.002562,0.00284,True,0.021
overlap_0.8d,0.005,2,v2,0.002564,0.00284,True,0.002
overlap_0.8d,0.005,3,v1,0.015467,0.002915,True,0.041
overlap_0.8d,0.005,3,v2,0.01547,0.002915,True,0.003
overlap_0.8d,0.005,4,v1,0.012975,0.002898,True,0.035
overlap_0.8d,0.005,4,v2,0.012975,0.002898,True,0.002
overlap_0.8d,0.02,0,v1,0.042205,0.009144,True,0.04
overlap_0.8d,0.02,0,v2,0.042203,0.009144,True,0.003
overlap_0.8d,0.02,1,v1,0.017437,0.01074,True,0.038
overlap_0.8d,0.02,1,v2,0.017437,0.01074,True,0.003
overlap_0.8d,0.02,2,v1,0.033942,0.010823,True,0.045
overlap_0.8d,0.02,2,v2,0.033938,0.010823,True,0.003
overlap_0.8d,0.02,3,v1,0.060955,0.010175,True,0.038
overlap_0.8d,0.02,3,v2,0.060959,0.010175,True,0.003
overlap_0.8d,0.02,4,v1,0.049207,0.01098,True,0.038
overlap_0.8d,0.02,4,v2,0.049206,0.01098,True,0.003
overlap_0.5d,0.001,0,v1,0.734436,0.000568,True,0.048
overlap_0.5d,0.001,0,v2,0.005475,0.000568,True,0.004
overlap_0.5d,0.001,1,v1,0.002755,0.000532,True,0.048
overlap_0.5d,0.001,1,v2,0.002754,0.000532,True,0.004
overlap_0.5d,0.001,2,v1,0.004447,0.000541,True,0.038
overlap_0.5d,0.001,2,v2,0.004446,0.000541,True,0.003
overlap_0.5d,0.001,3,v1,0.006064,0.000552,True,0.034
overlap_0.5d,0.001,3,v2,0.00606,0.000552,True,0.003
overlap_0.5d,0.001,4,v1,0.006185,0.00051,True,0.029
overlap_0.5d,0.001,4,v2,0.006187,0.00051,True,0.002
overlap_0.5d,0.005,0,v1,0.007145,0.002699,True,0.03
overlap_0.5d,0.005,0,v2,0.007149,0.002699,True,0.002
overlap_0.5d,0.005,1,v1,0.032557,0.002729,True,0.053
overlap_0.5d,0.005,1,v2,0.032567,0.002729,True,0.003
overlap_0.5d,0.005,2,v1,0.026073,0.002755,True,0.035
overlap_0.5d,0.005,2,v2,0.026079,0.002755,True,0.004
overlap_0.5d,0.005,3,v1,0.671173,0.003172,True,0.036
overlap_0.5d,0.005,3,v2,0.020197,0.003064,True,0.006
overlap_0.5d,0.005,4,v1,0.034604,0.00275,True,0.082
overlap_0.5d,0.005,4,v2,0.034617,0.00275,True,0.003
overlap_0.5d,0.02,0,v1,0.713347,0.010861,True,0.065
overlap_0.5d,0.02,0,v2,0.026219,0.010861,True,0.003
overlap_0.5d,0.02,1,v1,0.056827,0.011713,True,0.034
overlap_0.5d,0.02,1,v2,0.056835,0.011713,True,0.005
overlap_0.5d,0.02,2,v1,0.059857,0.009904,True,0.037
overlap_0.5d,0.02,2,v2,0.05984,0.009904,True,0.003
overlap_0.5d,0.02,3,v1,0.017712,0.010508,True,0.042
overlap_0.5d,0.02,3,v2,0.017721,0.010508,True,0.003
overlap_0.5d,0.02,4,v1,0.19642,0.010959,True,0.032
overlap_0.5d,0.02,4,v2,0.196417,0.010959,True,0.005
